NODEID	prize
A9Z1X7_HUMAN	6.343096753401681
HTF4_HUMAN	6.341176225843264
EIF3A_HUMAN	6.278851012013488
B0YIW2_HUMAN	5.581820586044439
HBA_HUMAN	5.581820586044439
H3BLZ8_HUMAN	5.477823239269641
TRFE_HUMAN	5.334125824240235
DDX52_HUMAN	5.174845117869905
ACINU_HUMAN	5.158390930270963
TMCO6_HUMAN	5.0865083998731
FBLN1_HUMAN	5.0865083998731
TAGL2_HUMAN	4.898987333103724
TLS1_HUMAN	4.898987333103724
4ET_HUMAN	4.898987333103724
FETUA_HUMAN	4.898987333103724
EDF1_HUMAN	4.753524914278521
TOM20_HUMAN	4.753524914278521
NUCKS_HUMAN	4.753524914278521
PHF3_HUMAN	4.753524914278521
TR150_HUMAN	4.732635903457529
PTN1_HUMAN	4.649058136710953
NEK4_HUMAN	4.649058136710953
LARP1_HUMAN	4.649058136710953
SMRC1_HUMAN	4.649058136710953
SRRM2_HUMAN	4.649058136710953
Q5T5H1_HUMAN	4.649058136710953
CCD86_HUMAN	4.649058136710953
PAK4_HUMAN	4.649058136710953
CD166_HUMAN	4.630059193615658
CPSF7_HUMAN	4.603945627430853
ATX2L_HUMAN	4.57995222468541
HNRPK_HUMAN	4.57995222468541
RL34_HUMAN	4.568697931367667
2A5D_HUMAN	4.553439376520597
A0A075B738_HUMAN	4.553439376520597
RRP12_HUMAN	4.525949613864842
AGFG1_HUMAN	4.497219015813258
TFR1_HUMAN	4.497219015813258
UBAC2_HUMAN	4.441375748603867
SNX2_HUMAN	4.434437246356287
RNF25_HUMAN	4.401484592892618
ACAP1_HUMAN	4.401484592892618
AGAP2_HUMAN	4.401410413245209
DCP2_HUMAN	4.401410413245209
SRSF5_HUMAN	4.401410413245209
PRC2A_HUMAN	4.401410413245209
NPM_HUMAN	4.388776771651659
A0A087X0X3_HUMAN	4.388776771651659
HTSF1_HUMAN	4.388776771651659
STMN1_HUMAN	4.388776771651659
G0XQ39_HUMAN	4.388776771651659
MYC_HUMAN	4.371909274401753
RAI1_HUMAN	4.371909274401753
RTN4_HUMAN	4.352386472972332
PHF2_HUMAN	4.338487243836551
MINT_HUMAN	4.333357363918116
TF2B_HUMAN	4.302349340291357
GLYR1_HUMAN	4.302349340291357
CHD1_HUMAN	4.302349340291357
DTD1_HUMAN	4.302349340291357
F8VX04_HUMAN	4.296308796231895
KPBB_HUMAN	4.256576053583031
PTN6_HUMAN	4.256576053583031
RBM5_HUMAN	4.256576053583031
LYAR_HUMAN	4.250159505368727
LCAP_HUMAN	4.247227922154882
ALBU_HUMAN	4.232255423400988
